471.000	0.000	0.000			0.000	0.211	2.799	8.379	-1.288	-1.424	0.000	0.000	0.000	0.000	0.000			0.000	0.211	2.799	8.379	0.000	-1.424	0.000	0.000	0.000	0.000	0.000
471.199	0.000	0.000			0.000	0.209	2.774	8.380	-1.293	-1.429	0.000	0.000	0.000	0.000	0.000			0.000	0.209	2.774	8.380	0.000	-1.429	0.000	0.000	0.000	0.000	0.000
471.399	0.000	0.000			0.000	0.216	2.865	8.378	-1.300	-1.439	0.000	0.000	0.000	0.000	0.000			0.000	0.216	2.865	8.378	0.000	-1.439	0.000	0.000	0.000	0.000	0.000
471.599	0.000	0.000			0.000	0.224	2.973	8.379	-1.321	-1.456	0.000	0.000	0.000	0.000	0.000			0.000	0.224	2.973	8.379	0.000	-1.456	0.000	0.000	0.000	0.000	0.000
471.799	0.000	0.000			0.000	0.217	2.875	8.381	-1.323	-1.460	0.000	0.000	0.000	0.000	0.000			0.000	0.217	2.875	8.381	0.000	-1.460	0.000	0.000	0.000	0.000	0.000
471.999	0.000	0.000			0.000	0.212	2.820	8.381	-1.340	-1.480	0.000	0.000	0.000	0.000	0.000			0.000	0.212	2.820	8.381	0.000	-1.480	0.000	0.000	0.000	0.000	0.000
472.200	0.000	1.000			0.000	0.214	2.846	8.378	-1.348	-1.487	0.224	0.000	0.000	0.000	0.000			0.000	0.214	2.846	8.378	0.000	-1.487	0.214	0.000	0.000	0.000	0.000
472.399	0.000	1.000			0.000	0.220	2.918	8.377	-1.354	-1.498	0.234	0.000	0.000	0.000	0.024			0.000	0.220	2.918	8.377	0.000	-1.498	0.214	0.000	0.000	0.000	-0.021
472.599	0.000	1.000			0.000	0.217	2.883	8.375	-1.375	-1.513	0.244	0.000	0.000	0.000	0.083			0.000	0.217	2.883	8.375	0.000	-1.513	0.214	0.000	0.000	0.000	-0.014
472.799	0.000	1.000			0.000	0.223	2.966	8.372	-1.378	-1.518	0.254	0.000	0.000	0.000	0.115			0.000	0.223	2.966	8.372	0.000	-1.518	0.214	0.000	0.000	0.000	-0.041
473.000	0.000	1.000			0.000	0.220	2.915	8.372	-1.400	-1.539	0.264	0.000	0.000	0.000	0.189			0.000	0.220	2.915	8.372	0.000	-1.539	0.214	0.000	0.000	0.000	-0.032
473.200	0.000	1.000			0.000	0.212	2.814	8.370	-1.406	-1.546	0.274	0.000	0.000	0.000	0.287			0.000	0.212	2.814	8.370	0.000	-1.546	0.214	0.000	0.000	0.000	-0.005
473.399	0.000	1.000			0.000	0.216	2.864	8.370	-1.417	-1.561	0.284	0.000	0.000	0.000	0.352			0.000	0.216	2.864	8.370	0.000	-1.561	0.214	0.000	0.000	0.000	-0.018
473.600	0.000	1.000			0.000	0.215	2.856	8.367	-1.434	-1.575	0.294	0.000	0.000	0.000	0.438			0.000	0.215	2.856	8.367	0.000	-1.575	0.214	0.000	0.000	0.000	-0.017
473.799	0.000	1.000			0.000	0.223	2.960	8.364	-1.436	-1.582	0.304	0.000	0.000	0.000	0.498			0.000	0.223	2.960	8.364	0.000	-1.582	0.214	0.000	0.000	0.000	-0.048
473.999	0.000	1.000			0.000	0.232	3.076	8.364	-1.454	-1.597	0.314	0.000	0.000	0.000	0.556			0.000	0.232	3.076	8.364	0.000	-1.597	0.214	0.000	0.000	0.000	-0.088
474.199	0.000	1.000			0.000	0.248	3.295	8.367	-1.459	-1.605	0.324	0.000	0.000	0.000	0.584			0.000	0.248	3.295	8.367	0.000	-1.605	0.214	0.000	0.000	0.000	-0.163
474.399	0.000	1.000			0.000	0.253	3.362	8.371	-1.469	-1.618	0.334	0.000	0.000	0.000	0.653			0.000	0.253	3.362	8.371	0.000	-1.618	0.214	0.000	0.000	0.000	-0.205
474.599	0.000	1.000			0.000	0.254	3.374	8.378	-1.484	-1.632	0.344	0.000	0.000	0.000	0.741			0.000	0.254	3.374	8.378	0.000	-1.632	0.214	0.000	0.000	0.000	-0.234
474.799	0.000	1.000			0.000	0.262	3.481	8.390	-1.488	-1.642	0.354	0.000	0.000	0.000	0.808			0.000	0.262	3.481	8.390	0.000	-1.642	0.214	0.000	0.000	0.000	-0.291
475.199	0.000	1.000			0.000	0.280	3.719	8.402	-1.510	-1.659	0.364	0.000	0.000	0.000	0.836			0.000	0.280	3.719	8.402	0.000	-1.659	0.214	0.000	0.000	0.000	-0.392
475.199	0.000	1.000			0.000	0.288	3.827	8.421	-1.515	-1.667	0.374	0.000	0.000	0.000	0.899			0.000	0.288	3.827	8.421	0.000	-1.667	0.214	0.000	0.000	0.000	-0.466
475.399	0.000	1.000			0.000	0.293	3.885	8.441	-1.531	-1.683	0.384	0.000	0.000	0.000	0.976			0.000	0.293	3.885	8.441	0.000	-1.683	0.214	0.000	0.000	0.000	-0.532
475.599	0.000	1.000			0.000	0.302	4.008	8.459	-1.542	-1.691	0.394	0.000	0.000	0.000	1.039			0.000	0.302	4.008	8.459	0.000	-1.691	0.214	0.000	0.000	0.000	-0.619
475.799	0.000	1.000			0.000	0.320	4.249	8.485	-1.550	-1.701	0.404	0.000	0.000	0.000	1.067			0.000	0.320	4.249	8.485	0.000	-1.701	0.214	0.000	0.000	0.000	-0.746
476.000	0.000	1.000			0.000	0.305	4.044	8.515	-1.564	-1.711	0.414	0.000	0.000	0.000	1.221			0.000	0.305	4.044	8.515	0.000	-1.711	0.214	0.000	0.000	0.000	-0.755
